seq,run_id,stage,change,rationale,parent,status,n_train,n_val,n_test,best_epoch,runtime_sec,p_seed,p_window_size,p_max_samples_train,p_max_samples_val,p_max_samples_test,p_d_model,p_nhead,p_num_layers,p_dim_feedforward,p_dropout,p_lr,p_epochs,p_patience,p_batch_size,p_weight_decay,p_loss,p_lr_schedule,p_event_weight,p_select_on,p_weight_avg,p_roll_jitter,p_init_ckpt,p_event_boost,val_mae_W,val_r2,val_precision,val_recall,val_f1,test_mae_W,test_rmse_W,test_r2,test_sae,test_energy_error,test_precision,test_recall,test_f1,d_mae_W,d_mae_pct,d_r2,d_sae,d_precision,d_recall,d_f1,note
8,tune_drop0,1-phase1 单因子,dropout 0.1→0,数据诊断的最强先验：稠密标签含 ~29% 事件窗是“不可学的真值缺失0”（子电表丢数），dropout 随机抹特征恰好教会模型“没把握就压 0”→直接压制召回（baseline R .712 的病根假设）；反直觉预期：噪声标签下应减正则,anchor_dense_reeval,完赛,8000,4000,4000,7,237.6,42,128,8000,4000,4000,64,4,2,128,0.0,0.0005,12,4,128,0.0001,mse,,,,,,,,3.797,0.7979,0.842,0.842,0.842,6.65,96.2,0.8284,0.1451,-0.1451,0.9231,0.9,0.9114,,,,,,,,本轮唯一采纳项
10,tune_c_d0lr2e3,2-phase2 组合,drop0 + lr2e-3,若 2e-4→1e-3 单调变好则外推 2e-3 更优；同时以最小代价圈定短程 schedule 的发散上限,tune_drop0,完赛,8000,4000,4000,3,160.4,42,128,8000,4000,4000,64,4,2,128,0.0,0.002,12,4,128,0.0001,mse,,,,,,,,10.438,0.3756,0.586,0.895,0.708,14.3,141.5,0.6288,0.2282,0.2282,0.6852,0.925,0.7872,7.65,+115.0%,-0.1997,0.0831,-0.2379,0.025,-0.1242,发散

1,ukdale_baseline_cpu_short,0-anchor,真实数据缩短版 baseline（10k train/6k test，10ep）,非调参轮：v2.0 协议要求先建可在当前环境 1h 完赛的锚点；复用旧 13.62W 产物以省算力并统一参照,,完赛,10000,6000,6000,9,635.6,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,13.62,137.9,0.6341,0.2145,-0.2145,0.9333,0.7119,0.8077,,,,,,,,锚点模型；后接其稠密复评行
11,tune_final_ab10k,3-同尺度A/B,drop0+lr1e-3 于 10k/6k/6k 复核,Phase1/2 结论建立在 8k×12ep 截断口径上噪声大，且 d128/大 lr 被否可能只是小数据伪像；在与 baseline 完全同口径的 10k/6k 复核组合冠军，消除口径混杂,ukdale_baseline_cpu_short,完赛,10000,6000,6000,8,285.2,42,128,10000,6000,6000,64,4,2,128,0.0,0.001,10,4,128,0.0001,mse,,,,,,,,4.04,0.8765,0.963,0.897,0.929,12.46,140.9,0.618,0.341,-0.341,0.9535,0.6949,0.8039,-1.17,-8.6%,-0.016,0.1265,0.0202,-0.0169,-0.0038,组合冠军在小口径外推失败

1,ukdale_baseline_cpu_short,0-anchor,真实数据缩短版 baseline（10k train/6k test，10ep）,非调参轮：v2.0 协议要求先建可在当前环境 1h 完赛的锚点；复用旧 13.62W 产物以省算力并统一参照,,完赛,10000,6000,6000,9,635.6,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,13.62,137.9,0.6341,0.2145,-0.2145,0.9333,0.7119,0.8077,,,,,,,,锚点模型；后接其稠密复评行
12,tune_final_ab10k_drop0only,3-同尺度A/B,drop0-only 对照（同 10k 尺度）,组合臂从 8k 的 6.65 回退到 10k 的 12.46，无法归因是哪个因子坏了→A/B 设计：两臂仅 lr 一项不同，单因子隔离,ukdale_baseline_cpu_short,完赛,10000,6000,6000,8,278.3,42,128,10000,6000,6000,64,4,2,128,0.0,0.0005,10,4,128,0.0001,mse,,,,,,,,5.49,0.8422,0.818,0.931,0.871,12.57,134.3,0.6531,0.1999,-0.1999,0.8491,0.7627,0.8036,-1.05,-7.7%,0.0191,-0.0146,-0.0843,0.0508,-0.0041,确认 drop0 为真收益

2,anchor_dense_reeval,0-anchor,（复评）baseline ckpt 加密到稠密 test30000 复评,baseline 仅有 test6k：样本量不足以分辨 ±1W 级调参差，且与原稠密基线 11.96W 口径不一致——同 ckpt 加密到 30k 统一后续所有轮的评分口径,ukdale_baseline_cpu_short,复评(同ckpt加密口径),10000,6000,30000,9,,42,128,10000,6000,6000,64,4,2,128,0.1,0.0005,10,4,128,0.0001,mse,,,,,,,,5.711,0.8606,0.844,0.931,0.885,11.67,124.9,0.6708,0.1477,-0.1477,0.9302,0.7519,0.8316,,,,,,,,非训练轮，eval_ckpt 口径统一
13,tune_final_full,4-全量F2,drop0 上全量：30k train/8k val/稠密 test30k，20ep 固定lr,drop0 在 8k/10k 两个尺度均复现为唯一稳健正收益→按协议将其定为新稳定版并上全量，评分统一稠密 test30k；其余参数全部冻结以防归因混杂,anchor_dense_reeval,完赛,30000,8000,30000,7,911.9,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,,,,,,,,4.935,0.8053,0.925,0.841,0.881,10.59,128.5,0.6517,0.2859,-0.2859,0.9455,0.718,0.8162,-1.08,-9.2%,-0.0191,0.1382,0.0153,-0.0338,-0.0154,cosine 前的全量锚点

13,tune_final_full,4-全量F2,drop0 上全量：30k train/8k val/稠密 test30k，20ep 固定lr,drop0 在 8k/10k 两个尺度均复现为唯一稳健正收益→按协议将其定为新稳定版并上全量，评分统一稠密 test30k；其余参数全部冻结以防归因混杂,anchor_dense_reeval,完赛,30000,8000,30000,7,911.9,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,,,,,,,,4.935,0.8053,0.925,0.841,0.881,10.59,128.5,0.6517,0.2859,-0.2859,0.9455,0.718,0.8162,-1.08,-9.2%,-0.0191,0.1382,0.0153,-0.0338,-0.0154,cosine 前的全量锚点
14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）

14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）
15,tune_f4_ew3,5-攻坚,F3 + event_weight=3（λ扫描）,F3 复盘：SAE/EE=−19.5% 系统性低估 + FN(1569)≫FP(455)→模型“不敢报火”；事件窗只占样本 ~22%，其监督被多数零窗稀释→温和 λ3 重测事件权重曲线（λ8 臂同时并行，取两点定形）,tune_final_f3_cosine,截停/无 result.json,,,,,,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,3.0,f1,,,,,,,,,,,,,,,,,,,,,,,,,timeout 截停无 result.json（后由 ew8/F5 补全 λ 结论）

14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）
16,tune_f4_ew8,5-攻坚,F3 + event_weight=8,同一 F3 诊断（EE−19.5%、FN≫FP）的激进端：λ8 把事件窗 loss×8，若“稀释”假说成立应显著抬 R/修 EE；同时用 SAE 收敛与否给 λ 定标,tune_final_f3_cosine,完赛,30000,8000,30000,6,560.5,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,8.0,f1,,,,,8.39,0.8344,0.907,0.886,0.897,13.75,118.2,0.7053,0.081,-0.081,0.9156,0.7744,0.8391,5.17,+60.2%,-0.0174,-0.1141,0.0088,-0.0301,-0.0135,大 λ 死路

14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）
17,tune_f5_boost_ew3,5-攻坚,F3 + boost + λ3 + f1 选点（三因子）,F4 教训：λ 全局乘子同时放大了 29% 缺事件窗“教你报 0”的错误监督→改从数据侧修：事件池过采样 45%（不改 loss 权重防畸变）+ λ 降到 3 + 选择准则换 val-F1 直接对准 P/R 平衡验收线,tune_final_f3_cosine,完赛,44935,8000,30000,11,1182.4,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,3.0,f1,,,,"max_extra=15000,static,frac=None",4.903,0.8228,0.927,0.864,0.894,9.61,121.5,0.6886,0.1826,-0.1826,0.913,0.7105,0.7992,1.02,+11.9%,-0.0341,-0.0124,0.0063,-0.094,-0.0534,R 反跌 .711，三因混杂判死

14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）
18,tune_f6_boost_only,5-攻坚,F3 + 静态事件拼接 boost（λ1/MAE选点）,F5 三因子同改无法归因→单因子剥离：只保留 boost、恢复 λ1 与 MAE 选点，裁决 F5 恶化是 boost 还是 f1 选点所致；同时检验“FN 是事件覆盖不足”假说,tune_final_f3_cosine,完赛,44935,8000,30000,6,773.4,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,"max_extra=15000,static,frac=None",4.389,0.8194,0.905,0.864,0.884,9.31,118.7,0.7026,0.1987,-0.1987,0.9252,0.7444,0.825,0.73,+8.5%,-0.0201,0.0037,0.0185,-0.0602,-0.0276,覆盖假说证伪（FN 98% 重合）

14,tune_final_f3_cosine,4-全量F3,F2 + cosine lr(T_max=20),F2 的 train loss 尾段（~ep14-20）在平台震荡不降→固定 lr 2e-4 的梯度噪声疑为终局瓶颈；cosine 退火到 1e-5 是最便宜、不改模型的稳定化手段,tune_final_full,完赛,30000,8000,30000,12,1255.8,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,,,,,4.124,0.8329,0.905,0.864,0.884,8.58,114.6,0.7227,0.195,-0.195,0.9068,0.8045,0.8526,-2.01,-19.0%,0.071,-0.0909,-0.0388,0.0865,0.0364,调参专题稳定版（本表后半段父节点）
19,tune_f7_stoch_wavg,5-攻坚,F3 + 每epoch事件池重采样(45%) + top4权重平均,静态 boost 连败（F5/F6）指向机制错误：过采样移动了测试期先验→模型更保守（P↑R↓反向）；改 stochastic masking——每 epoch 以 45% 概率把部分窗替换为事件窗，分布整体不动只微增事件梯度；另加 top-4 权重平均消 F3 遗留的尾段震荡,tune_final_f3_cosine,完赛,30000,8000,30000,6,504.2,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",4.204,0.8258,0.905,0.864,0.884,8.98,117.5,0.7089,0.1748,-0.1748,0.9512,0.7331,0.828,0.4,+4.6%,-0.0138,-0.0202,0.0444,-0.0714,-0.0246,前沿 F1 .892；P 上限 .951

19,tune_f7_stoch_wavg,5-攻坚,F3 + 每epoch事件池重采样(45%) + top4权重平均,静态 boost 连败（F5/F6）指向机制错误：过采样移动了测试期先验→模型更保守（P↑R↓反向）；改 stochastic masking——每 epoch 以 45% 概率把部分窗替换为事件窗，分布整体不动只微增事件梯度；另加 top-4 权重平均消 F3 遗留的尾段震荡,tune_final_f3_cosine,完赛,30000,8000,30000,6,504.2,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",4.204,0.8258,0.905,0.864,0.884,8.98,117.5,0.7089,0.1748,-0.1748,0.9512,0.7331,0.828,0.4,+4.6%,-0.0138,-0.0202,0.0444,-0.0714,-0.0246,前沿 F1 .892；P 上限 .951
20,tune_f9_stoch_wavg2,5-攻坚,F7 + λ2 + minprf 选点,"F7 暴露新缺口：P .951 创新高但 R .733（gap 22pp），且 EE−17.5% 低估仍在→最小 λ=2 温和抬事件监督 + 选择准则换 min(P,R,F1) 把短板（R）直接写进优化目标",tune_f7_stoch_wavg,完赛,30000,8000,30000,5,454.3,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,2.0,minprf,4,,,"max_extra=15000,stoch,frac=0.45",12.637,0.8311,0.907,0.886,0.897,12.38,120.4,0.6941,0.0353,-0.0353,0.9189,0.7669,0.8361,3.4,+37.9%,-0.0148,-0.1395,-0.0323,0.0338,0.008,λ 家族终结：MAE 12.38

19,tune_f7_stoch_wavg,5-攻坚,F3 + 每epoch事件池重采样(45%) + top4权重平均,静态 boost 连败（F5/F6）指向机制错误：过采样移动了测试期先验→模型更保守（P↑R↓反向）；改 stochastic masking——每 epoch 以 45% 概率把部分窗替换为事件窗，分布整体不动只微增事件梯度；另加 top-4 权重平均消 F3 遗留的尾段震荡,tune_final_f3_cosine,完赛,30000,8000,30000,6,504.2,42,128,30000,8000,30000,64,4,2,128,0.0,0.0005,20,5,128,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",4.204,0.8258,0.905,0.864,0.884,8.98,117.5,0.7089,0.1748,-0.1748,0.9512,0.7331,0.828,0.4,+4.6%,-0.0138,-0.0202,0.0444,-0.0714,-0.0246,前沿 F1 .892；P 上限 .951
21,tune_f8_big,5-攻坚,F7 配方 + 容量×4（d128/8h/4L/ff256）,攻坚轮多数卡在 val 3.57-3.65 噪声带、F3 平台十余轮未破→按 plateau-加容量先验重启 d128/4L：ab10k 已证其在 10k 尺度不劣（Phase1 的否决是小数据×dropout 混杂伪像），F7 的正则配方恰好扫清扩容量的过拟合前提,tune_f7_stoch_wavg,截停后 eval_ckpt 补评,,,30000,21,,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,25,8,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.42,,,,0.892,7.37,114.2,0.725,0.2158,-0.2158,0.9519,0.7444,0.8354,-1.61,-18.0%,0.0161,0.0409,0.0007,0.0113,0.0074,23ep 被 timeout 截停；指标=ep22 快照 eval_ckpt 复评（无 wavg）

21,tune_f8_big,5-攻坚,F7 配方 + 容量×4（d128/8h/4L/ff256）,攻坚轮多数卡在 val 3.57-3.65 噪声带、F3 平台十余轮未破→按 plateau-加容量先验重启 d128/4L：ab10k 已证其在 10k 尺度不劣（Phase1 的否决是小数据×dropout 混杂伪像），F7 的正则配方恰好扫清扩容量的过拟合前提,tune_f7_stoch_wavg,截停后 eval_ckpt 补评,,,30000,21,,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,25,8,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.42,,,,0.892,7.37,114.2,0.725,0.2158,-0.2158,0.9519,0.7444,0.8354,-1.61,-18.0%,0.0161,0.0409,0.0007,0.0113,0.0074,23ep 被 timeout 截停；指标=ep22 快照 eval_ckpt 复评（无 wavg）
